date,sales,units_sold,marketing_spend,customer_count
2023-04-17,7678.56,161,790.07,109
2023-04-18,7099.98,137,534.61,94
2023-04-19,6706.5,139,688.44,73
2023-04-20,6045.29,120,529.09,78
2023-04-21,5119.3,102,778.36,69
2023-04-22,5711.22,118,713.98,83
2023-04-23,6088.68,116,1127.53,92
2023-04-24,7195.38,146,514.29,80
2023-04-25,6524.48,131,511.75,73
2023-04-26,6464.21,132,566.31,68
2023-04-27,6021.4,122,560.68,73
2023-04-28,5528.22,123,556.73,74
2023-04-29,6455.9,126,973.43,91
2023-04-30,6881.05,135,557.42,85
2023-05-01,7442.07,146,563.48,90
2023-05-02,7186.48,141,784.92,91
2023-05-03,7759.94,152,619.47,89
2023-05-04,6620.39,138,799.86,104
2023-05-05,7061.27,148,513.52,72
2023-05-06,7727.33,152,633.72,98
2023-05-07,7221.73,140,506.84,111
2023-05-08,7764.08,158,512.94,97
2023-05-09,8049.45,158,973.83,99
2023-05-10,7551.88,154,529.99,91
2023-05-11,6724.13,135,652.04,82
2023-05-12,6829.04,129,605.9,99
2023-05-13,6449.66,137,585.34,59
2023-05-14,7143.79,152,960.18,105
2023-05-15,6944.69,136,504.41,73
2023-05-16,7602.34,150,718.0,92
2023-05-17,6451.82,130,1161.51,76
2023-05-18,5983.21,121,664.27,81
2023-05-19,5894.19,121,1052.36,58
2023-05-20,5238.49,115,510.73,70
2023-05-21,5953.65,118,608.53,95
2023-05-22,6585.19,128,560.26,69
2023-05-23,5757.05,108,762.48,74
2023-05-24,6008.34,117,1295.82,68
2023-05-25,5615.7,112,559.29,74
2023-05-26,5553.41,120,712.36,70
2023-05-27,5125.98,100,544.15,58
2023-05-28,5599.23,113,666.63,75
2023-05-29,6670.55,133,624.7,101
2023-05-30,6841.26,143,1215.15,84
2023-05-31,6705.47,147,687.57,91
2023-06-01,6448.81,126,586.0,68
2023-06-02,6011.3,118,524.23,66
2023-06-03,6508.03,135,532.8,86
2023-06-04,7022.92,144,551.06,103
2023-06-05,7191.15,153,557.79,93
2023-06-06,8110.8,165,880.25,98
2023-06-07,7438.3,147,664.75,93
2023-06-08,6485.52,133,648.21,69
2023-06-09,6715.05,140,524.38,90
2023-06-10,6234.5,129,893.42,87
2023-06-11,7035.76,143,756.61,83
2023-06-12,7393.81,153,514.01,88
2023-06-13,6731.54,140,746.09,87
2023-06-14,6816.84,143,656.85,81
2023-06-15,6030.97,124,517.05,75
2023-06-16,5696.3,113,622.61,92
2023-06-17,5935.47,119,632.6,72
2023-06-18,5518.05,116,536.25,65
2023-06-19,5611.21,108,1082.64,64
2023-06-20,5547.66,113,879.39,77
2023-06-21,5210.07,102,721.14,63
2023-06-22,4941.78,99,624.09,55
2023-06-23,4775.41,102,606.13,73
2023-06-24,4865.99,98,710.52,75
2023-06-25,5468.62,110,657.68,62
2023-06-26,5692.07,107,512.86,52
2023-06-27,6323.5,130,643.69,89
2023-06-28,5660.75,116,828.4,64
2023-06-29,6259.72,136,622.96,86
2023-06-30,7505.51,149,510.67,74
2023-07-01,5301.85,107,808.62,75
2023-07-02,5766.0,117,544.97,60
2023-07-03,6746.06,143,559.85,92
2023-07-04,6733.41,134,535.99,84
2023-07-05,6820.75,138,580.16,76
2023-07-06,6360.99,130,782.73,75
2023-07-07,5939.77,120,646.54,81
2023-07-08,5782.52,113,545.85,73
2023-07-09,5916.68,119,920.47,80
2023-07-10,6538.55,136,923.36,101
2023-07-11,6906.21,133,908.94,71
2023-07-12,6297.31,127,554.57,95
2023-07-13,5259.31,102,620.02,67
2023-07-14,5234.16,111,1339.8,56
2023-07-15,5206.87,97,795.69,52
2023-07-16,5029.64,98,505.51,61
2023-07-17,5551.81,113,513.49,79
2023-07-18,5454.01,117,624.7,67
2023-07-19,4678.12,93,979.86,74
2023-07-20,4575.55,89,654.74,43
2023-07-21,4277.43,95,637.76,53
2023-07-22,4475.55,82,522.29,43
2023-07-23,4837.5,86,713.88,64
2023-07-24,4513.71,92,845.31,65
2023-07-25,4790.36,93,595.74,56
2023-07-26,5034.29,96,798.88,37
2023-07-27,4704.78,98,1167.51,61
2023-07-28,4560.13,92,545.57,61
2023-07-29,5797.88,113,648.19,77
2023-07-30,5351.6,101,567.69,79
2023-07-31,6059.49,126,814.87,65
2023-08-01,6242.07,128,672.36,85
2023-08-02,6007.27,120,701.34,87
2023-08-03,5389.56,117,819.81,50
2023-08-04,5521.73,105,600.83,72
2023-08-05,5209.11,97,993.23,60
2023-08-06,5778.19,112,652.3,71
2023-08-07,6077.39,121,534.38,79
2023-08-08,6292.43,127,738.08,74
2023-08-09,6607.07,131,815.26,76
2023-08-10,4803.93,98,576.18,60
2023-08-11,5159.08,97,889.23,54
2023-08-12,4405.27,95,973.2,44
2023-08-13,4963.83,99,564.84,69
2023-08-14,5641.43,118,1321.14,59
2023-08-15,5249.3,107,530.33,72
2023-08-16,4462.46,92,545.13,60
2023-08-17,3978.14,82,540.72,32
2023-08-18,3987.77,82,948.84,43
2023-08-19,3549.32,74,712.43,56
2023-08-20,4142.88,90,533.0,42
2023-08-21,4434.7,90,616.08,51
2023-08-22,4309.38,90,691.06,58
2023-08-23,4899.92,98,517.43,69
2023-08-24,4069.02,89,928.12,48
2023-08-25,3087.4,58,825.52,33
2023-08-26,3960.38,88,640.72,64
2023-08-27,4230.69,84,1183.02,70
2023-08-28,5224.32,97,608.17,75
2023-08-29,4983.47,100,1328.42,63
2023-08-30,5072.75,98,720.48,55
2023-08-31,4974.35,104,701.39,54
2023-09-01,4947.78,96,536.29,67
2023-09-02,4540.07,89,927.29,61
2023-09-03,5280.68,96,611.54,80
2023-09-04,5689.54,112,535.4,78
2023-09-05,5759.78,103,502.54,57
2023-09-06,6207.74,116,664.09,88
2023-09-07,5324.18,110,649.9,57
2023-09-08,4479.52,94,754.13,52
2023-09-09,5125.44,105,941.92,67
2023-09-10,5747.83,110,516.55,92
2023-09-11,5661.87,113,762.98,102
2023-09-12,4829.11,97,541.51,66
2023-09-13,4698.51,88,890.64,57
2023-09-14,4619.78,100,841.92,63
2023-09-15,3594.38,76,655.65,54
2023-09-16,3888.52,77,747.74,45
2023-09-17,4251.81,85,575.48,71
2023-09-18,4031.8,82,627.42,53
2023-09-19,4318.82,76,844.79,59
2023-09-20,3057.71,60,622.97,45
2023-09-21,3288.04,62,588.57,45
2023-09-22,3283.42,61,636.33,49
2023-09-23,3149.45,62,852.34,33
2023-09-24,4503.19,99,581.66,51
2023-09-25,4100.53,85,538.17,40
2023-09-26,4640.28,90,748.97,62
2023-09-27,4701.84,97,849.71,67
2023-09-28,4829.68,104,521.21,65
2023-09-29,3865.01,82,554.85,65
2023-09-30,4903.44,98,530.62,61
2023-10-01,5096.88,99,585.52,70
2023-10-02,5318.56,110,619.7,56
2023-10-03,5950.95,121,776.32,71
2023-10-04,5674.43,118,710.62,78
2023-10-05,5040.88,104,694.01,72
2023-10-06,4977.14,105,586.89,59
2023-10-07,4908.61,95,868.33,61
2023-10-08,5387.81,114,627.46,52
2023-10-09,5852.12,118,1273.65,70
2023-10-10,6109.09,133,701.1,85
2023-10-11,4854.57,94,527.0,66
2023-10-12,5281.31,114,725.51,71
2023-10-13,3627.79,74,578.64,46
2023-10-14,4107.4,79,731.88,51
2023-10-15,4571.03,89,514.44,51
2023-10-16,4735.07,93,538.45,66
2023-10-17,4446.83,91,887.22,60
2023-10-18,4213.41,87,551.54,58
2023-10-19,3637.49,70,862.85,40
2023-10-20,3315.17,66,565.5,20
2023-10-21,3855.71,88,705.94,59
2023-10-22,4146.35,92,736.93,47
2023-10-23,4303.46,88,643.76,45
2023-10-24,4989.62,100,572.86,69
2023-10-25,4679.67,94,547.82,55
2023-10-26,4556.67,94,506.75,68
2023-10-27,4405.03,83,572.47,61
2023-10-28,4245.51,84,711.78,60
2023-10-29,4898.99,90,1057.11,48
2023-10-30,5857.19,119,909.91,85
2023-10-31,6073.88,125,790.54,79
2023-11-01,5755.03,113,810.66,68
2023-11-02,5478.07,117,718.72,70
2023-11-03,5641.21,107,560.3,53
2023-11-04,5229.68,97,975.45,69
2023-11-05,5980.48,121,722.18,64
2023-11-06,6130.49,128,664.4,63
2023-11-07,6173.39,132,523.53,62
2023-11-08,6218.88,122,618.5,89
2023-11-09,5598.44,117,623.37,64
2023-11-10,5199.6,104,899.85,80
2023-11-11,5305.12,105,658.22,61
2023-11-12,5165.14,108,595.74,47
2023-11-13,5609.13,115,1252.72,59
2023-11-14,5270.4,98,523.47,78
2023-11-15,5067.14,109,609.83,62
2023-11-16,4394.77,95,508.59,49
2023-11-17,4116.5,79,769.34,53
2023-11-18,4317.19,88,1000.39,59
2023-11-19,4272.35,88,565.71,65
2023-11-20,5559.78,112,890.87,84
2023-11-21,4785.2,93,569.12,56
2023-11-22,4544.17,88,983.31,44
2023-11-23,4944.47,99,780.45,58
2023-11-24,4712.77,100,826.86,62
2023-11-25,8928.64,181,503.63,102
2023-11-26,5504.88,108,1158.34,59
2023-11-27,5895.21,122,759.42,77
2023-11-28,5918.1,104,572.7,73
2023-11-29,6124.32,128,853.68,77
2023-11-30,5635.38,104,566.12,63
2023-12-01,6011.07,118,912.33,73
2023-12-02,5895.72,112,523.89,64
2023-12-03,6177.81,117,743.27,86
2023-12-04,6781.62,141,655.61,95
2023-12-05,7125.56,140,520.3,71
2023-12-06,6554.57,133,555.39,73
2023-12-07,6002.6,120,502.5,60
2023-12-08,5981.22,122,626.51,68
2023-12-09,5981.71,120,571.7,74
2023-12-10,6030.24,114,682.44,61
2023-12-11,6301.06,131,570.55,70
2023-12-12,6470.55,127,571.31,71
2023-12-13,5558.15,103,771.89,72
2023-12-14,5006.03,98,509.87,63
2023-12-15,4826.15,104,966.39,53
2023-12-16,4978.81,104,882.47,64
2023-12-17,5457.75,107,720.41,63
2023-12-18,6159.11,121,679.9,74
2023-12-19,6064.82,120,945.69,93
2023-12-20,5518.36,121,540.99,82
2023-12-21,5190.96,106,516.45,52
2023-12-22,4722.92,97,554.76,67
2023-12-23,5242.57,110,816.54,74
2023-12-24,5706.39,115,507.06,60
2023-12-25,9455.28,188,674.84,126
2023-12-26,6395.68,127,1577.98,95
2023-12-27,6725.28,134,887.17,73
2023-12-28,6791.6,136,647.4,76
2023-12-29,6217.58,128,513.15,88
2023-12-30,6642.02,133,856.01,86
2023-12-31,7273.68,149,682.75,96
2024-01-01,7465.43,149,524.42,97
2024-01-02,7847.53,157,519.71,102
2024-01-03,7578.26,142,980.76,81
2024-01-04,7199.81,149,721.25,100
2024-01-05,6663.2,135,853.55,95
2024-01-06,6960.84,144,922.36,85
2024-01-07,7425.32,134,669.62,92
2024-01-08,8007.66,171,645.73,85
2024-01-09,7841.53,156,612.57,103
2024-01-10,7799.78,162,576.24,103
2024-01-11,6353.0,122,614.04,79
2024-01-12,6437.57,132,797.34,92
2024-01-13,6197.79,119,684.22,74
2024-01-14,7075.15,138,946.1,94
2024-01-15,6471.59,139,617.17,71
2024-01-16,6489.54,129,686.83,81
2024-01-17,6252.12,126,699.56,76
2024-01-18,5355.01,111,679.15,69
2024-01-19,5592.71,114,742.56,66
2024-01-20,5682.65,114,554.21,70
2024-01-21,6442.94,131,643.64,89
2024-01-22,7017.92,152,522.01,83
2024-01-23,7727.27,154,597.07,81
2024-01-24,7351.88,148,633.76,109
2024-01-25,6646.71,138,711.24,97
2024-01-26,6473.74,135,1101.28,68
2024-01-27,7181.21,150,683.58,97
2024-01-28,7214.83,147,772.2,85
2024-01-29,8723.19,169,641.15,112
2024-01-30,8775.31,184,701.08,113
2024-01-31,8135.19,157,514.71,99
2024-02-01,7422.6,150,558.71,85
2024-02-02,8133.18,159,589.84,95
2024-02-03,7815.21,156,627.92,89
2024-02-04,8602.82,174,509.34,99
2024-02-05,6101.55,124,530.17,76
2024-02-06,8423.57,171,564.82,98
2024-02-07,8235.15,173,1211.8,110
2024-02-08,7693.69,156,580.5,111
2024-02-09,7139.47,142,631.57,83
2024-02-10,7415.75,153,543.66,95
2024-02-11,7157.11,149,688.72,94
2024-02-12,7690.16,148,565.89,101
2024-02-13,7744.0,158,546.38,98
2024-02-14,7490.46,153,645.37,101
2024-02-15,7040.15,139,501.1,93
2024-02-16,6173.14,130,501.54,65
2024-02-17,6134.17,122,549.45,85
2024-02-18,7390.4,148,507.48,101
2024-02-19,7553.93,150,522.86,87
2024-02-20,7415.38,148,582.76,93
2024-02-21,7953.83,154,824.49,106
2024-02-22,7234.03,137,669.75,88
2024-02-23,7447.52,157,643.76,104
2024-02-24,7389.33,144,569.48,116
2024-02-25,8563.93,166,1036.93,99
2024-02-26,9048.57,170,601.17,99
2024-02-27,8721.55,171,518.22,112
2024-02-28,8980.31,173,691.98,119
2024-02-29,8590.77,180,524.17,105
2024-03-01,8653.06,178,584.69,123
2024-03-02,8134.72,159,641.62,88
2024-03-03,9072.47,193,914.65,120
2024-03-04,9591.48,197,636.06,114
2024-03-05,8824.09,175,742.31,127
2024-03-06,8673.78,161,1487.2,128
2024-03-07,7899.99,169,528.2,91
2024-03-08,8050.91,154,564.24,95
2024-03-09,8313.09,158,600.37,113
2024-03-10,8794.36,181,609.58,106
2024-03-11,8604.02,184,605.87,107
2024-03-12,9013.74,187,976.35,113
2024-03-13,7694.27,157,750.38,77
2024-03-14,7030.87,144,687.25,88
2024-03-15,7142.29,147,574.03,82
2024-03-16,7283.88,149,847.22,86
2024-03-17,7492.77,151,1120.49,108
2024-03-18,7249.09,146,844.3,78
2024-03-19,7949.31,159,500.31,107
2024-03-20,7358.69,143,702.34,89
2024-03-21,7594.37,150,510.5,92
2024-03-22,7340.1,138,559.58,100
2024-03-23,7177.42,143,512.27,93
2024-03-24,7848.97,152,685.16,104
2024-03-25,8242.89,159,732.05,113
2024-03-26,8811.84,177,524.32,107
2024-03-27,9019.66,187,596.85,107
2024-03-28,8168.8,168,621.85,91
2024-03-29,8495.83,162,592.11,98
2024-03-30,8411.71,163,525.8,135
2024-03-31,8827.04,181,608.58,123
2024-04-01,9496.18,185,778.2,105
2024-04-02,9353.04,186,514.73,104
2024-04-03,9230.56,187,516.72,120
2024-04-04,8571.75,167,587.63,113
2024-04-05,9184.65,184,1068.52,120
2024-04-06,8606.29,165,720.87,105
2024-04-07,8654.2,170,727.06,107
2024-04-08,9175.73,185,589.86,118
2024-04-09,9016.23,172,680.11,114
2024-04-10,8547.25,173,502.04,85
2024-04-11,8197.6,164,702.17,100
2024-04-12,7810.6,159,989.03,89
2024-04-13,7375.05,149,689.65,94
2024-04-14,7626.8,159,913.82,125
2024-04-15,8007.91,161,757.45,104
2024-04-16,7426.22,146,525.69,90
2024-04-17,7354.36,148,965.48,101
2024-04-18,7782.08,158,513.75,102
2024-04-19,7626.32,153,652.7,100
2024-04-20,7218.83,145,530.66,96
2024-04-21,7951.44,156,502.36,120
2024-04-22,8382.35,164,609.65,93
2024-04-23,9448.9,182,569.92,123
2024-04-24,8744.11,184,633.11,100
2024-04-25,8096.37,156,672.17,107
2024-04-26,7737.53,151,508.94,88
2024-04-27,7791.11,152,526.25,93
2024-04-28,8862.68,182,663.58,108
2024-04-29,9082.38,180,584.07,123
2024-04-30,9069.51,188,761.26,123
2024-05-01,9091.37,178,711.28,101
2024-05-02,8553.04,172,873.65,107
2024-05-03,9104.01,178,735.85,107
2024-05-04,8914.64,189,612.4,99
2024-05-05,8960.78,173,723.54,110
2024-05-06,9689.52,195,564.42,118
2024-05-07,9230.4,188,573.15,140
2024-05-08,8522.47,173,811.17,111
2024-05-09,8633.52,172,618.27,94
2024-05-10,7889.72,157,820.27,93
2024-05-11,7335.06,147,845.67,102
2024-05-12,7808.61,155,889.77,118
2024-05-13,7836.39,162,996.91,82
2024-05-14,7643.44,164,612.77,77
2024-05-15,7953.92,156,576.8,118
2024-05-16,7733.28,148,674.55,101
2024-05-17,6421.57,128,592.78,72
2024-05-18,7092.24,155,683.8,94
2024-05-19,7139.2,139,744.55,63
2024-05-20,7632.24,161,733.21,95
2024-05-21,7780.27,164,593.86,101
2024-05-22,7537.02,148,536.51,103
2024-05-23,7505.9,153,612.61,84
2024-05-24,7114.5,150,530.77,90
2024-05-25,7691.42,152,941.63,87
2024-05-26,8135.82,162,584.89,104
2024-05-27,8612.27,169,533.56,99
2024-05-28,8635.92,168,505.16,104
2024-05-29,8571.51,168,707.59,97
2024-05-30,8617.93,166,702.62,114
2024-05-31,8321.21,167,583.29,113
2024-06-01,7990.87,156,514.88,98
2024-06-02,8686.51,175,605.4,109
2024-06-03,9219.72,177,574.57,101
2024-06-04,8503.24,172,726.1,103
2024-06-05,8779.28,180,686.17,109
2024-06-06,7840.15,147,590.7,124
2024-06-07,7775.4,157,549.15,86
2024-06-08,7293.2,152,1385.17,106
2024-06-09,7185.59,138,621.03,100
2024-06-10,7443.5,157,733.13,96
2024-06-11,7863.64,159,530.29,116
2024-06-12,7491.58,146,632.95,97
2024-06-13,6563.86,131,505.58,86
2024-06-14,6637.43,136,640.82,82
2024-06-15,5955.31,119,1164.94,87
2024-06-16,6769.36,138,596.97,96
2024-06-17,6795.94,131,507.96,79
2024-06-18,7074.06,142,506.29,75
2024-06-19,7060.27,134,598.2,86
2024-06-20,6431.19,128,534.88,72
2024-06-21,6406.47,124,504.73,79
2024-06-22,7043.79,137,782.29,100
2024-06-23,7097.41,148,622.69,84
2024-06-24,8056.97,167,568.29,100
2024-06-25,7708.71,157,960.68,97
2024-06-26,8073.53,156,524.69,109
2024-06-27,8036.4,159,1124.34,78
2024-06-28,6694.56,140,575.37,78
2024-06-29,9570.17,192,938.57,122
2024-06-30,8219.61,176,684.74,115
2024-07-01,8389.56,170,850.55,100
2024-07-02,8636.66,174,1327.2,89
2024-07-03,8017.12,159,568.05,106
2024-07-04,7700.7,155,1149.53,90
2024-07-05,7237.52,144,598.69,79
2024-07-06,7585.17,155,597.39,89
2024-07-07,7535.63,155,583.22,92
2024-07-08,7770.87,151,655.92,91
2024-07-09,7454.73,142,533.48,71
2024-07-10,6973.7,130,661.36,96
2024-07-11,6375.87,130,656.05,92
2024-07-12,6187.29,118,787.01,84
2024-07-13,5893.68,107,858.73,62
2024-07-14,6378.36,130,616.12,78
2024-07-15,7215.87,157,572.0,90
2024-07-16,6895.41,138,560.04,92
2024-07-17,6244.89,129,543.29,85
2024-07-18,6283.22,126,511.88,71
2024-07-19,5577.33,111,583.85,71
2024-07-20,5262.69,110,563.01,70
2024-07-21,6066.57,120,1178.75,90
2024-07-22,6323.32,128,663.16,86
2024-07-23,7014.67,142,585.32,96
2024-07-24,7001.58,137,673.72,88
2024-07-25,7211.73,149,529.98,104
2024-07-26,6675.88,133,617.41,88
2024-07-27,6734.11,131,696.83,76
2024-07-28,7544.7,154,634.24,108
2024-07-29,7102.79,138,602.76,96
2024-07-30,7982.62,160,1518.21,95
2024-07-31,7888.9,158,924.58,94
2024-08-01,6761.84,141,695.32,87
2024-08-02,7225.13,147,668.5,95
2024-08-03,6994.19,140,693.86,89
2024-08-04,7043.02,145,544.96,91
2024-08-05,7606.66,159,600.55,112
2024-08-06,8032.58,163,508.05,111
2024-08-07,6959.45,139,629.08,89
2024-08-08,6362.5,121,656.63,89
2024-08-09,5696.99,109,551.69,61
2024-08-10,5501.24,108,1165.01,73
2024-08-11,6235.54,122,980.38,96
2024-08-12,5980.71,119,756.13,73
2024-08-13,6242.0,125,652.45,70
2024-08-14,5723.74,117,908.0,65
2024-08-15,5527.43,110,528.0,58
2024-08-16,5198.97,106,812.62,57
2024-08-17,5527.43,111,526.67,65
2024-08-18,5508.4,100,816.18,55
2024-08-19,6056.28,116,564.53,76
2024-08-20,6051.4,120,919.26,85
2024-08-21,6073.34,115,1076.63,67
2024-08-22,6032.61,124,532.22,91
2024-08-23,6030.29,128,624.23,80
2024-08-24,5777.74,122,1292.53,83
2024-08-25,6853.92,136,632.1,79
2024-08-26,7524.51,158,898.36,103
2024-08-27,7452.08,150,677.7,82
2024-08-28,7708.62,152,594.11,105
2024-08-29,6537.72,128,567.31,83
2024-08-30,6151.22,122,545.44,82
2024-08-31,6078.43,120,786.93,64
2024-09-01,7408.27,149,597.73,84
2024-09-02,7470.32,150,643.19,99
2024-09-03,7247.62,145,635.58,81
2024-09-04,6945.92,141,672.21,91
2024-09-05,5938.4,125,901.35,61
2024-09-06,6573.43,136,1289.94,91
2024-09-07,5802.34,109,604.71,60
2024-09-08,6015.03,108,851.49,81
2024-09-09,6426.27,133,789.23,87
2024-09-10,6299.43,119,670.44,72
2024-09-11,5822.77,115,1124.93,79
2024-09-12,4981.99,94,544.75,65
2024-09-13,5018.17,91,523.14,57
2024-09-14,5499.67,113,884.78,59
2024-09-15,5726.59,118,615.66,52
2024-09-16,6224.02,122,875.42,81
2024-09-17,5755.12,102,947.15,56
2024-09-18,5437.66,106,512.9,69
2024-09-19,5385.92,110,929.91,65
2024-09-20,5313.84,99,618.96,73
2024-09-21,5880.57,119,642.85,70
2024-09-22,5601.84,112,697.02,67
2024-09-23,7126.15,145,1021.77,96
2024-09-24,6876.39,138,503.86,89
2024-09-25,6671.39,129,629.57,87
2024-09-26,6188.01,130,732.77,82
2024-09-27,5825.19,116,756.54,57
2024-09-28,6735.85,135,735.88,92
2024-09-29,6939.69,134,528.87,93
2024-09-30,6925.18,136,571.16,76
2024-10-01,6989.43,135,588.86,85
2024-10-02,6943.12,138,826.37,86
2024-10-03,7017.27,149,565.36,86
2024-10-04,6049.21,114,547.32,79
2024-10-05,5633.63,105,1131.41,85
2024-10-06,6248.93,132,501.78,89
2024-10-07,6472.09,128,1725.76,68
2024-10-08,5682.17,110,725.91,77
2024-10-09,6052.92,126,852.6,89
2024-10-10,5429.19,106,569.8,72
2024-10-11,5320.95,116,502.88,77
2024-10-12,5673.89,117,767.78,91
2024-10-13,5789.36,113,859.33,83
2024-10-14,5736.61,126,769.78,74
2024-10-15,5592.04,109,530.83,80
2024-10-16,6470.85,133,780.02,82
2024-10-17,5361.78,109,793.0,67
2024-10-18,5187.44,110,714.91,61
2024-10-19,5408.74,116,790.59,83
2024-10-20,6023.46,121,874.06,67
2024-10-21,6483.43,126,690.18,96
2024-10-22,6630.66,135,518.56,88
2024-10-23,6548.07,128,633.74,68
2024-10-24,6441.44,139,516.17,84
2024-10-25,6176.94,124,604.7,56
2024-10-26,6361.74,125,604.55,86
2024-10-27,7111.93,143,513.66,98
2024-10-28,7478.04,143,585.79,88
2024-10-29,8153.03,158,523.53,103
2024-10-30,6652.4,139,830.3,103
2024-10-31,7323.26,143,1090.11,86
2024-11-01,7048.24,136,515.01,78
2024-11-02,6068.17,124,1120.73,91
2024-11-03,6871.93,143,647.87,106
2024-11-04,7127.66,146,571.21,89
2024-11-05,6772.99,140,516.0,95
2024-11-06,6544.07,127,638.88,95
2024-11-07,5863.41,110,816.48,66
2024-11-08,6312.42,134,745.58,74
2024-11-09,6039.24,119,510.31,88
2024-11-10,6427.07,127,515.14,97
2024-11-11,6575.49,138,603.13,88
2024-11-12,6069.91,124,569.99,67
2024-11-13,5967.43,122,552.89,94
2024-11-14,5859.49,128,565.98,68
2024-11-15,5132.38,99,825.4,61
2024-11-16,5899.91,123,1029.66,77
2024-11-17,6125.85,123,603.87,92
2024-11-18,6623.74,134,973.13,91
2024-11-19,7214.19,152,577.57,94
2024-11-20,7046.34,143,629.42,93
2024-11-21,6561.13,134,551.24,82
2024-11-22,6937.22,144,704.59,92
2024-11-23,6545.18,129,1272.47,57
2024-11-24,12114.77,238,685.01,148
2024-11-25,8148.13,158,588.58,104
